ID_PDG;DATE;RRmm;Tmin;Tmax;ETP;RGI
2847;01/01/2060;4.733;1.917;4.228;0.438;0.711
2847;02/01/2060;0.234;0.306;4.355;0.249;1.538
2847;03/01/2060;0.49;-0.324;2.82;0.25;1.444
2847;04/01/2060;0;-0.293;2.939;0.215;2.573
2847;05/01/2060;0;-1.823;4.917;0.067;4.407
2847;06/01/2060;0;-1.819;5.408;0.052;4.623
2847;07/01/2060;0;-2.782;2.95;0.082;4.534
2847;08/01/2060;0;-3.37;4.335;0.08;4.583
2847;09/01/2060;0.105;-1.091;3.095;0.209;1.681
2847;10/01/2060;0;-0.593;4.151;0.095;5.575
2847;11/01/2060;0;-0.994;2.034;0.2;2.355
2847;12/01/2060;0;-0.994;1.808;0.177;3.895
2847;13/01/2060;0;-0.892;2.797;0.286;2.849
2847;14/01/2060;3.543;0.701;1.381;0.271;0.778
2847;15/01/2060;0.205;1.126;1.53;0.305;1.494
2847;16/01/2060;2.498;0.309;1.097;0.324;0.685
2847;17/01/2060;0;-1.007;1.164;0.193;4.967
2847;18/01/2060;0;-1.209;2.528;0.271;5.603
2847;19/01/2060;0;0.859;8.71;0.889;5.695
2847;20/01/2060;3.165;1.869;7.17;0.579;0.875
2847;21/01/2060;2.469;1.206;6.897;0.545;2.728
2847;22/01/2060;0.218;1.399;4.858;0.5;6.004
2847;23/01/2060;2.195;2.087;5.354;0.553;2.49
2847;24/01/2060;2.226;1.095;5.313;0.444;4.599
2847;25/01/2060;0.461;0.394;4.106;0.657;4.055
2847;26/01/2060;6.644;1.975;4.971;0.336;4.645
2847;27/01/2060;0.066;-0.129;4.555;0.311;6.082
2847;28/01/2060;0.249;0.437;3.641;0.289;3.266
2847;29/01/2060;0;0.19;3.579;0.259;5.754
2847;30/01/2060;0;-2.264;2.065;0.319;7.65
2847;31/01/2060;0.523;0.169;4.297;0.348;4.752
2847;01/02/2060;0;1.166;4.775;0.453;4.435
2847;02/02/2060;0;-0.77;3.572;0.367;7.323
2847;03/02/2060;0;-2.423;2.171;0.272;6.721
2847;04/02/2060;0;-1.459;3.122;0.272;6.796
2847;05/02/2060;0.218;0.446;7.606;0.615;2.288
2847;06/02/2060;11.185;6.016;8.143;0.349;0.352
2847;07/02/2060;0;7.696;13.088;1.073;3.849
2847;08/02/2060;0.21;8.677;9.361;0.861;0.702
2847;09/02/2060;0;5.188;12.269;0.913;8.312
2847;10/02/2060;0;5.186;14.214;0.811;4.053
2847;11/02/2060;3.42;11.034;11.122;0.739;0.934
2847;12/02/2060;0;2.978;8.776;0.514;7.132
2847;13/02/2060;0.513;3.182;7.156;0.746;6.983
2847;14/02/2060;1.992;3.656;8.25;0.715;6.65
2847;15/02/2060;2.16;3.886;9.526;0.712;5.573
2847;16/02/2060;0.282;3.653;9.813;0.771;6.874
2847;17/02/2060;0.311;6.913;12.44;0.736;1.73
2847;18/02/2060;0;7.576;16.776;1.132;9.268
2847;19/02/2060;0;7.342;17.139;1.387;9.035
2847;20/02/2060;0;11.489;18.901;2.184;5.476
2847;21/02/2060;1.416;11.194;18.752;2.455;10.932
2847;22/02/2060;0.3;4.147;7.73;1.251;10.371
2847;23/02/2060;0;1.086;3.704;0.745;9.184
2847;24/02/2060;0;-1.564;4.099;1.044;16.192
2847;25/02/2060;0;-1.968;7.809;0.982;16.423
2847;26/02/2060;0;-1.498;11.832;1.368;16.657
2847;27/02/2060;0;1.435;12.042;1.289;17.034
2847;28/02/2060;0;0.735;10.114;1.339;17.647
2847;29/02/2060;0;1.852;9.61;1.264;17.168
2847;01/03/2060;1.433;4.592;13.592;0.891;7.013
2847;02/03/2060;0.522;10.549;15.305;0.669;1.886
2847;03/03/2060;2.712;10.078;11.79;0.898;1.278
2847;04/03/2060;0;6.111;10.981;2.165;9.917
2847;05/03/2060;0;4.757;14.218;1.911;10.034
2847;06/03/2060;0;2.606;13.834;1.528;10.809
2847;07/03/2060;0;2.636;10.919;1.013;10.153
2847;08/03/2060;0;4.304;14.062;0.934;5.269
2847;09/03/2060;2.61;6.271;11.102;0.711;3.749
2847;10/03/2060;2.005;5.672;7.191;0.721;3.245
2847;11/03/2060;1.927;6.407;9.747;0.964;4.256
2847;12/03/2060;0.704;3.04;11.764;1.129;5.372
2847;13/03/2060;4.231;8.508;14.231;0.933;1.79
2847;14/03/2060;0;6.367;10.213;1.265;7.567
2847;15/03/2060;0;4.048;10.33;0.807;4.911
2847;16/03/2060;0;7.979;15.568;1.372;9.909
2847;17/03/2060;0;7.099;18.076;1.385;9.842
2847;18/03/2060;0;3.614;12.17;2.121;15.073
2847;19/03/2060;0;-0.291;8.931;2.039;16.549
2847;20/03/2060;0;-1.952;11.003;2.415;17.808
2847;21/03/2060;0;-1.756;9.414;1.979;16.014
2847;22/03/2060;0;0.259;9.28;1.53;12.279
2847;23/03/2060;0.909;0.933;8.651;0.869;4.595
2847;24/03/2060;1.627;3.138;7.96;1.32;9.016
