ID_PDG;DATE;RRmm;Tmin;Tmax;ETP;RGI
2847;01/01/1999;0;-0.6;0.4;0.5;2.504
2847;02/01/1999;4.4;-1.6;8.2;0.4;2.945
2847;03/01/1999;1.3;4.1;10.4;1;2.243
2847;04/01/1999;0;7.4;14.9;1.3;2.785
2847;05/01/1999;0;8.2;15.1;1.1;2.004
2847;06/01/1999;0;3.8;13.7;1.1;5.115
2847;07/01/1999;0.3;6.4;14.5;2.1;2.935
2847;08/01/1999;2.3;5.7;8.8;0.8;1.937
2847;09/01/1999;1.6;3.8;6.4;0.7;3.285
2847;10/01/1999;0.4;1.5;2.9;0.5;4.102
2847;11/01/1999;7.5;0.4;1.7;0.4;1.854
2847;12/01/1999;2.4;-4.8;0.8;0.5;5.409
2847;13/01/1999;0.1;-2.6;4.1;0.5;3.566
2847;14/01/1999;0.1;2;7;0.8;3.986
2847;15/01/1999;0;3.7;8.4;1.1;4.76
2847;16/01/1999;0;4.2;12.8;2;3.198
2847;17/01/1999;0.8;4.8;11.6;1.5;3.714
2847;18/01/1999;0;4.2;8.7;0.3;1.548
2847;19/01/1999;0.1;1.6;9.9;0.8;4.692
2847;20/01/1999;0;-1.7;10.9;1;7.908
2847;21/01/1999;0;-1.3;10.7;1.1;6.956
2847;22/01/1999;0;-2;7.9;0.5;3.331
2847;23/01/1999;0;-3.3;6.7;0.6;4.023
2847;24/01/1999;0.1;-1.2;9.2;0.8;4.805
2847;25/01/1999;0.1;2.9;11.7;0.8;3.6
2847;26/01/1999;12.3;4.3;10;0.7;1.396
2847;27/01/1999;1.9;3.9;5.1;0.9;4.071
2847;28/01/1999;11.1;3.1;6.4;0.7;1.517
2847;29/01/1999;0.3;0.1;2.4;0.8;7.216
2847;30/01/1999;0;-4.5;-1.1;0.7;6.822
2847;31/01/1999;0;-3.2;-1.9;0.7;6.255
2847;01/02/1999;0.1;-5.6;-0.5;0.4;3.287
2847;02/02/1999;0.4;-1;1.7;0.5;5.333
2847;03/02/1999;0.7;1;3.4;0.4;2.757
2847;04/02/1999;0.1;2.6;8.2;0.6;4.922
2847;05/02/1999;8.4;5.4;7.8;0.9;2.832
2847;06/02/1999;4.1;2.9;3.7;0.7;3.178
2847;07/02/1999;1.9;0.4;4.9;0.8;5.329
2847;08/02/1999;9.1;-1;1.6;0.8;2.793
2847;09/02/1999;1;-2.4;-0.8;0.2;1.58
2847;10/02/1999;1.2;-8.8;-2.1;0.3;6.225
2847;11/02/1999;0.3;-6.4;0.2;0.3;4.009
2847;12/02/1999;0;-10.6;-3.3;0.5;9.761
2847;13/02/1999;0;-8.6;-2.5;0.4;5.546
2847;14/02/1999;0;-3.5;0.7;0.6;7.269
2847;15/02/1999;0;-5.5;2.2;0.4;4.709
2847;16/02/1999;0.2;-2;4.5;0.4;2.473
2847;17/02/1999;5.2;0.6;4.3;0.7;3.639
2847;18/02/1999;2.3;0.7;5.8;0.6;4.417
2847;19/02/1999;2.5;4.2;8.7;0.3;1.697
2847;20/02/1999;3.2;8.1;9.8;0.7;1.87
2847;21/02/1999;8.5;7.1;10.1;1.3;3.833
2847;22/02/1999;3.3;2.6;5.9;1.2;5.919
2847;23/02/1999;0.1;1.8;4.5;1.3;8.546
2847;24/02/1999;0.5;0.8;2.9;0.4;1.544
2847;25/02/1999;0;-1.2;5;0.9;9.665
2847;26/02/1999;0;-2.1;9.9;1.4;11.24
2847;27/02/1999;1.5;1.7;14.2;1.2;7.217
2847;28/02/1999;0.1;6.5;8.6;1;8.89
2847;01/03/1999;0.9;1.7;9;0.8;2.728
2847;02/03/1999;0.1;8.2;12.5;1.4;6.47
2847;03/03/1999;6.8;8.7;11.3;1.3;4.981
2847;04/03/1999;2;4.4;5.6;0.5;2.428
2847;05/03/1999;0.3;3.8;6.8;1;6.967
2847;06/03/1999;0.2;2.7;6.8;1.5;13.262
2847;07/03/1999;1.1;1.2;6.3;1.3;7.883
2847;08/03/1999;18.8;0.3;7.1;1.4;8.943
2847;09/03/1999;1;2.9;8.4;0.3;2.121
2847;10/03/1999;1.3;5.5;11.1;0.8;6.138
2847;11/03/1999;0;5.8;8.3;1.1;7.754
2847;12/03/1999;0;2.6;13.6;1;8.273
2847;13/03/1999;0;3.8;19.1;1.7;11.77
2847;14/03/1999;0;4.9;17;1.6;10.609
2847;15/03/1999;0;7.6;14.7;2;14.549
2847;16/03/1999;0;4.4;13.4;1.6;9.49
2847;17/03/1999;0;1.9;10.6;1.7;9.196
2847;18/03/1999;0.1;0.3;10;1.9;16.661
2847;19/03/1999;1.4;3.2;8;0.8;5.433
2847;20/03/1999;0;3.6;8.4;1.4;12.094
2847;21/03/1999;2.2;0.7;12.3;2;11.864
2847;22/03/1999;0.9;3.7;8.5;0.9;4.731
2847;23/03/1999;0.1;4.1;7.3;0.9;3.076
2847;24/03/1999;0;2.8;16.3;2.6;17.499
2847;25/03/1999;1.1;3.2;13.3;1.1;8.584
2847;26/03/1999;6.4;9.4;11.5;0.8;2.142
2847;27/03/1999;13.1;3.9;6.6;0.6;3.781
2847;28/03/1999;0;3.3;6.4;0.9;8.159
2847;29/03/1999;0;5;9.2;1.6;13.205
2847;30/03/1999;0;1.5;14.8;2.2;16.966
2847;31/03/1999;0;3.6;15.6;2.4;18.96
2847;01/04/1999;0;4.7;18.6;2.8;18.615
2847;02/04/1999;1.2;5.9;20;2.5;14.476
2847;03/04/1999;0.4;8.2;19;2.3;12.172
2847;04/04/1999;0;11.1;16.3;2.6;15.616
2847;05/04/1999;0;7.9;18.6;2.4;15.453
2847;06/04/1999;17.9;8.2;19.6;1.7;7.651
2847;07/04/1999;4.6;9.1;10.5;0.7;3.925
2847;08/04/1999;0.6;7.6;11.5;2.4;16.706
2847;09/04/1999;0;7.7;14.6;2.6;17.618
2847;10/04/1999;1.2;4.6;18.2;2.6;19.856
2847;11/04/1999;1.9;9.6;10.2;1;4.848
2847;12/04/1999;4.6;5.7;9;0.9;4.804
2847;13/04/1999;3.4;6.5;9.1;1.3;5.923
2847;14/04/1999;1.8;4.5;14;2.8;10.137
2847;15/04/1999;0.2;3.4;4.1;0.7;3.543
2847;16/04/1999;0;2.8;8.5;1.8;15.351
2847;17/04/1999;1.6;0.8;10.3;1.4;13.438
2847;18/04/1999;7.7;3.2;8.9;1.1;7.186
2847;19/04/1999;3.2;3.1;7.4;1.4;11.337
2847;20/04/1999;0.7;1.6;12.3;1.2;9.323
2847;21/04/1999;4.2;10.5;14.1;1.5;6.858
2847;22/04/1999;0.5;9.4;16.3;2.9;14.645
2847;23/04/1999;2.7;8.2;17.5;2;11.197
2847;24/04/1999;0;7.6;14.2;2.1;14.126
2847;25/04/1999;0;8.4;15.3;2;12.978
2847;26/04/1999;1.4;8.2;18.7;1.3;6.57
2847;27/04/1999;12.6;10;19.4;2.5;10.676
2847;28/04/1999;0;10.5;17.4;3.4;20.723
2847;29/04/1999;7.7;11.3;21.5;3.4;17.336
2847;30/04/1999;0.5;10.3;16.3;1;5.11
2847;01/05/1999;4.7;9.8;16.3;1.2;7.244
2847;02/05/1999;0;10.6;20.5;3.7;21.959
2847;03/05/1999;0;12.5;23.5;4.8;22.767
2847;04/05/1999;0;13.6;18.1;3;7.992
2847;05/05/1999;5.2;13;20.7;2.4;12.656
2847;06/05/1999;0.1;13.8;22.4;3.1;17.024
2847;07/05/1999;9;10.8;22.1;2.9;15.545
2847;08/05/1999;7.2;14.1;15.9;1.1;5.748
2847;09/05/1999;0;9.3;20.1;3.7;22.876
2847;10/05/1999;7.1;11.8;21.6;2.6;13.119
2847;11/05/1999;12.2;13.9;15.6;0.9;3.27
2847;12/05/1999;4.8;13.7;17.6;0.9;3.783
2847;13/05/1999;7.2;12.2;20;3.3;20.436
