cycle: 0; nbPreys: 200; minEnergyPreys: 0.004286294799356494; maxSizePreys: 0.9930611075879853; nbPredators: 20; minEnergyPredators: 0.11409408201251359; maxSizePredators: 0.9269018306123605
cycle: 1; nbPreys: 196; minEnergyPreys: 0.052325510485630986; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.15718712212372912; maxSizePredators: 1.0
cycle: 2; nbPreys: 191; minEnergyPreys: 0.10134511832876822; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.13718712212372913; maxSizePredators: 1.0
cycle: 3; nbPreys: 186; minEnergyPreys: 0.15134511832876818; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.5330256779568524; maxSizePredators: 1.0
cycle: 4; nbPreys: 177; minEnergyPreys: 0.20134511832876817; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.5130256779568524; maxSizePredators: 1.0
cycle: 5; nbPreys: 178; minEnergyPreys: 0.18642673851615857; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.5140940820125135; maxSizePredators: 1.0
cycle: 6; nbPreys: 175; minEnergyPreys: 0.23642673851615856; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.5802277858028031; maxSizePredators: 1.0
cycle: 7; nbPreys: 172; minEnergyPreys: 0.2864267385161585; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.5602277858028031; maxSizePredators: 1.0
cycle: 8; nbPreys: 166; minEnergyPreys: 0.25745298252250437; maxSizePreys: 1.0; nbPredators: 23; minEnergyPredators: 0.32666666666666666; maxSizePredators: 1.0
cycle: 9; nbPreys: 163; minEnergyPreys: 0.25; maxSizePreys: 1.0; nbPredators: 23; minEnergyPredators: 0.30666666666666664; maxSizePredators: 1.0
cycle: 10; nbPreys: 168; minEnergyPreys: 0.14243893368621827; maxSizePreys: 1.0; nbPredators: 23; minEnergyPredators: 0.2866666666666666; maxSizePredators: 1.0
cycle: 11; nbPreys: 171; minEnergyPreys: 0.1589091876663009; maxSizePreys: 1.0; nbPredators: 23; minEnergyPredators: 0.2666666666666666; maxSizePredators: 1.0
cycle: 12; nbPreys: 178; minEnergyPreys: 0.17639247333891844; maxSizePreys: 1.0; nbPredators: 23; minEnergyPredators: 0.24666666666666662; maxSizePredators: 1.0
cycle: 13; nbPreys: 175; minEnergyPreys: 0.2; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.22666666666666663; maxSizePredators: 1.0
