id_pdg;date;RRmm;Tmin;Tmax;ETP;RGI
8994;1/1/1971;0.0;-9.1;0.6;0.2;6.946000000000001
8994;2/1/1971;0.0;-8.9;0.2;0.8;8.049
8994;3/1/1971;0.0;-6.6;7.0;1.1;7.11
8994;4/1/1971;0.0;-6.3;5.7;0.6;9.464
8994;5/1/1971;8.5;-2.2;8.6;0.3;0.997
8994;6/1/1971;0.3;5.5;10.5;0.5;6.627999999999999
8994;7/1/1971;0.0;1.2;15.0;1.0;7.489
8994;8/1/1971;0.0;1.9;15.8;1.2;4.792
8994;9/1/1971;0.0;3.8;15.7;1.8;8.119
8994;10/1/1971;0.0;4.0;18.4;2.4;9.644
8994;11/1/1971;0.0;-0.3;10.8;1.0;3.0669999999999997
8994;12/1/1971;0.1;2.9;13.6;1.2;4.522
8994;13/1/1971;0.9;0.9;13.2;1.1;5.632000000000001
8994;14/1/1971;6.9;3.2;12.0;0.7;6.24
8994;15/1/1971;30.1;3.7;8.1;0.6;1.485
8994;16/1/1971;0.6;5.8;9.5;0.5;3.16
8994;17/1/1971;0.3;2.3;9.4;0.8;5.7010000000000005
8994;18/1/1971;10.4;1.9;10.6;0.9;3.9139999999999997
8994;19/1/1971;19.1;7.4;13.5;0.8;1.401
8994;20/1/1971;4.5;6.5;12.7;1.3;4.636
8994;21/1/1971;11.1;5.0;8.4;1.3;4.502
8994;22/1/1971;12.2;2.8;9.7;1.0;3.6519999999999997
8994;23/1/1971;15.0;5.8;20.9;1.9;7.813
8994;24/1/1971;6.2;7.5;12.8;1.3;8.677999999999999
8994;25/1/1971;1.2;4.5;15.3;1.5;6.124
8994;26/1/1971;2.9;7.3;19.0;2.1;4.168
8994;27/1/1971;6.2;7.8;9.1;0.9;3.783
8994;28/1/1971;0.2;4.6;9.3;1.1;5.499
8994;29/1/1971;0.0;6.8;10.6;1.4;5.954
8994;30/1/1971;6.5;3.7;7.1;0.6;0.958
8994;31/1/1971;2.1;3.5;6.2;0.6;2.364
8994;1/2/1971;1.8;2.7;6.7;0.6;3.074
8994;2/2/1971;0.1;1.3;1.7;0.5;2.904
8994;3/2/1971;0.0;-3.7;2.7;0.6;12.475999999999999
8994;4/2/1971;0.0;-0.8;7.7;0.2;8.48
8994;5/2/1971;0.0;4.2;10.1;0.7;11.03
8994;6/2/1971;0.0;1.2;16.3;1.6;13.140999999999998
8994;7/2/1971;0.0;3.3;11.0;1.2;3.951
8994;8/2/1971;0.0;2.0;2.8;0.7;3.536
8994;9/2/1971;0.0;-0.1;2.5;0.7;5.002
8994;10/2/1971;0.0;-1.2;13.4;1.6;9.687000000000001
8994;11/2/1971;0.0;0.7;13.0;1.6;10.318
8994;12/2/1971;0.0;4.1;15.0;1.6;11.138
8994;13/2/1971;1.5;1.1;12.0;0.9;5.19
8994;14/2/1971;1.0;5.4;7.7;0.4;5.367999999999999
8994;15/2/1971;14.4;1.7;11.2;1.5;1.909
8994;16/2/1971;29.5;3.6;5.6;0.5;2.8760000000000003
8994;17/2/1971;38.8;4.6;10.2;0.7;2.399
8994;18/2/1971;22.4;7.5;8.7;0.9;2.943
8994;19/2/1971;30.1;7.0;9.6;0.4;1.329
8994;20/2/1971;0.7;8.5;10.1;1.3;5.644
8994;21/2/1971;2.8;3.9;13.2;1.0;5.085
8994;22/2/1971;0.0;5.6;10.8;1.1;9.837
8994;23/2/1971;0.0;0.6;11.3;1.5;16.359
8994;24/2/1971;0.0;-1.2;9.1;1.1;15.204
8994;25/2/1971;0.0;-1.0;9.5;1.1;14.738
8994;26/2/1971;0.0;-2.4;10.1;1.4;14.635
8994;27/2/1971;1.3;0.8;13.3;1.7;10.456
8994;28/2/1971;1.4;5.5;7.7;0.7;3.2310000000000003
8994;1/3/1971;0.0;-4.2;4.5;1.8;17.725
8994;2/3/1971;0.9;-4.0;5.0;1.2;10.139
8994;3/3/1971;1.0;3.0;5.6;0.9;4.625
8994;4/3/1971;0.0;0.4;3.0;0.8;12.220999999999998
8994;5/3/1971;0.0;-6.2;-1.2;1.1;18.081
8994;6/3/1971;0.0;-8.1;0.7;0.8;15.934000000000001
8994;7/3/1971;0.0;-6.4;-1.7;0.6;8.471
8994;8/3/1971;0.0;-6.9;1.5;1.4;19.035
8994;9/3/1971;0.0;-6.3;5.3;1.6;18.552
8994;10/3/1971;0.0;-1.9;6.8;1.1;4.675
8994;11/3/1971;0.0;-1.5;9.3;2.2;15.026
8994;12/3/1971;0.0;-2.7;11.5;2.5;19.933
8994;13/3/1971;0.0;-1.6;14.5;1.1;6.151
8994;14/3/1971;6.7;5.1;8.3;0.7;1.775
8994;15/3/1971;17.4;3.6;8.4;0.6;6.436
8994;16/3/1971;16.7;4.0;12.3;1.3;10.636
8994;17/3/1971;0.2;6.7;14.5;1.8;5.412999999999999
8994;18/3/1971;3.7;9.9;14.9;2.6;4.9110000000000005
8994;19/3/1971;1.8;5.2;10.9;1.9;11.975999999999999
8994;20/3/1971;7.3;4.1;7.2;0.9;3.98
8994;21/3/1971;21.4;3.4;6.2;0.7;4.059
8994;22/3/1971;31.0;4.2;5.2;0.6;3.221
8994;23/3/1971;0.0;3.6;5.6;1.0;4.283
8994;24/3/1971;0.0;-1.0;9.3;1.7;19.5
8994;25/3/1971;0.0;0.0;10.0;1.1;15.805
8994;26/3/1971;12.3;7.2;8.3;0.6;4.0760000000000005
